"","Sample","OTU","Genus","Abundance"
"104","1337_220_S220_L001","ASV00002","Prochlorococcus MIT9313",784
"105","1337_228_S228_L001","ASV00043","Pseudoalteromonas",772
"106","1337_234_S234_L001","ASV00061",NA,758
"107","1337_230_S230_L001","ASV00002","Prochlorococcus MIT9313",757
"108","1337_225_S225_L001","ASV00061",NA,747
"109","1337_224_S224_L001","ASV00074","Colwellia",743
"110","1337_237_S237_L001","ASV00004","Synechococcus CC9902",730
"111","1337_225_S225_L001","ASV00074","Colwellia",688
"112","1337_235_S235_L001","ASV00074","Colwellia",659
"113","1337_238_S238_L001","ASV00025","Pseudophaeobacter",658
"114","1337_222_S222_L001","ASV00004","Synechococcus CC9902",655
"115","1337_238_S238_L001","ASV00004","Synechococcus CC9902",617
"116","1337_242_S242_L001","ASV00053","Colwellia",615
"117","1337_232_S232_L001","ASV00008","Shewanella",609
"118","1337_238_S238_L001","ASV00043","Pseudoalteromonas",595
"119","1337_229_S229_L001","ASV00004","Synechococcus CC9902",590
"120","1337_224_S224_L001","ASV00001","Clade Ia",589
"121","1337_234_S234_L001","ASV00040","Marinomonas",578
"122","1337_238_S238_L001","ASV00048","Colwellia",559
"123","1337_235_S235_L001","ASV00061",NA,540
"124","1337_232_S232_L001","ASV00043","Pseudoalteromonas",536
"125","1337_242_S242_L001","ASV00043","Pseudoalteromonas",516
"126","1337_225_S225_L001","ASV00003","Clade Ia",504
"127","1337_224_S224_L001","ASV00008","Shewanella",488
"128","1337_235_S235_L001","ASV00003","Clade Ia",472
"129","1337_238_S238_L001","ASV00053","Colwellia",472
"130","1337_224_S224_L001","ASV00010","Shewanella",467
"131","1337_232_S232_L001","ASV00316","Neptuniibacter",454
"132","1337_237_S237_L001","ASV00001","Clade Ia",447
"133","1337_232_S232_L001","ASV00010","Shewanella",439
"134","1337_234_S234_L001","ASV00003","Clade Ia",438
"135","1337_223_S223_L001","ASV00002","Prochlorococcus MIT9313",428
"136","1337_232_S232_L001","ASV00012","Acinetobacter",419
"137","1337_235_S235_L001","ASV00009","Glaciecola",407
"138","1337_228_S228_L001","ASV00064","Vibrio",393
"139","1337_238_S238_L001","ASV00001","Clade Ia",387
"140","1337_237_S237_L001","ASV00074","Colwellia",373
"141","1337_220_S220_L001","ASV00036","Synechococcus CC9902",362
"142","1337_225_S225_L001","ASV00004","Synechococcus CC9902",351
"143","1337_221_S221_L001","ASV00036","Synechococcus CC9902",348
"144","1337_221_S221_L001","ASV00068","Glaciecola",328
"145","1337_230_S230_L001","ASV00040","Marinomonas",326
"146","1337_223_S223_L001","ASV00025","Pseudophaeobacter",323
"147","1337_240_S240_L001","ASV00064","Vibrio",301
"148","1337_235_S235_L001","ASV00029","Oceaniserpentilla",297
