"Treatment","Genus","Total_Abundance"
"tar","Glaciecola",29199
"tar","Shewanella",12194
"tar","Limosilactobacillus",9569
"tar","Colwellia",7670
"tar","Pseudophaeobacter",7522
"tar","Clade Ia",6482
"tar","Vibrio",6428
"tar","Escherichia-Shigella",4837
"tar","Salmonella",4755
"tar","Acinetobacter",4024
"tar","Oceaniserpentilla",3991
"tar","Synechococcus CC9902",3954
"tar","Alteromonas",3467
"tar","Neptuniibacter",2466
"tar","Oleibacter",1892
