"Treatment","Genus","Total_Abundance"
"exu","Alteromonas",49393
"exu","Glaciecola",25589
"exu","Marinomonas",15956
"exu","Pseudophaeobacter",8979
"exu","Pseudoalteromonas",8928
"exu","Colwellia",4480
"exu","Clade Ia",1348
"exu","Prochlorococcus MIT9313",612
