"Treatment","Genus","Total_Abundance"
"pyr","Shewanella",19393
"pyr","Synechococcus CC9902",14230
"pyr","Clade Ia",11867
"pyr","Oceaniserpentilla",10377
"pyr","Pseudophaeobacter",9836
"pyr","Acinetobacter",6895
"pyr","Colwellia",6864
"pyr","Glaciecola",2665
"pyr",NA,1721
