"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASV00001",1008.13065864055,1.36964497104313,1.59214042260623,0.860253876854096,0.389649111594482,0.73358519892369
"ASV00002",237.3119366376,-0.490892252859793,2.21721755619173,-0.221400128953942,0.82478089202932,0.937211572802081
"ASV00003",450.675961889002,2.0158584127192,1.78325559457738,1.13043717280301,0.258292057992845,0.612226773061122
"ASV00004",807.27428764462,0.23097871570205,1.91866213976385,0.120385299170223,0.904177936268416,0.974833381653706
"ASV00005",472.825684720012,1.87707557466861,1.62210074680666,1.15718803432148,0.24719554535294,0.599315818589502
"ASV00006",594.022954010882,1.78710578586623,1.90121199594896,0.939982384749379,0.347226596364313,0.696520017706986
"ASV00007",0.482115438981547,1.95470091155754,3.76095379695803,0.519735422737329,0.603247994167869,NA
"ASV00008",867.300860352134,6.58557704071975,1.99800385327762,3.29607824825586,0.000980447031701431,0.0173900341938622
"ASV00009",3449.74021906963,-1.188890881403,2.72735559791513,-0.435913410892157,0.662899554600269,0.893614093159521
"ASV00010",722.033300954917,6.84183558505014,2.10673155734052,3.24760673053527,0.0011638000621276,0.0178273009516818
"ASV00011",66.0280898375489,4.40549428728659,1.72263882778974,2.55741030343495,0.0105454750393832,0.101537859664919
"ASV00012",537.523444479872,6.42522913173988,1.96692741474995,3.26663255774321,0.001088348413158,0.0177113805446129
"ASV00013",33.1585971155211,-2.48012078135296,2.94134570257994,-0.843192549307475,NA,NA
"ASV00014",30.5375045987966,-2.50808800173895,2.90548169834278,-0.863226226194957,NA,NA
"ASV00015",0,0,0,0,1,NA
"ASV00016",0.350629410168398,1.49744253575533,3.77152014534941,0.397039516705697,0.69133832037321,NA
"ASV00017",425.271055522347,1.79931652688284,1.85674041544368,0.969072742703711,0.332508896300348,0.695996882318121
"ASV00018",1.12822242421292,-4.53128810793526,3.74164974675876,-1.2110401599884,NA,NA
"ASV00019",1.65788098576406,2.8481681493555,3.33658161038271,0.853618607886775,0.39331634487369,NA
"ASV00020",4.51288969685167,-23.8083774182201,3.73424465958625,-6.37568761251386,NA,NA
"ASV00021",94.0516540637805,1.6663063479586,2.02889378242836,0.821288113941688,0.41148217643679,0.757756794859006
"ASV00023",224.552627631346,2.05494371785938,2.09115759347785,0.982682378539323,0.325763786070338,0.695996882318121
"ASV00024",0.306800733897348,1.30587643694542,3.77701276996019,0.34574318819663,0.729535724080901,NA
"ASV00025",1620.28200043566,-0.639792378416351,1.98993003904778,-0.321515011011394,0.74782013849736,0.930442460892484
"ASV00028",40.1172160040266,7.16014062321822,2.63665538138474,2.71561489369073,0.00661528182223791,0.0768741370377302
"ASV00029",865.19912164368,4.70770550472947,2.42966612551405,1.93759358756893,0.0526728254246921,0.281757812192401
"ASV00031",19.557098960954,-1.34055823177328,3.21123427711787,-0.417458869732932,NA,NA
"ASV00032",170.057952472198,1.90816170906018,2.48383440328954,0.768232256761179,0.442349212870122,0.773688545010956
"ASV00033",36.4640701303949,23.8696036823512,3.15086734157446,7.57556605681273,3.57565115817545e-14,1.50624305038141e-12
"ASV00034",130.859934064435,1.99206257391898,1.91770505533529,1.03877422045524,0.298909753502835,0.649887657615842
"ASV00036",313.21711002952,3.27037330179047,1.7798705957494,1.83742195056237,0.0661476288137666,0.318211910656914
"ASV00038",69.4685755631631,1.62135527270071,2.01199346176621,0.805845199555179,0.420332112349613,0.765686064117943
"ASV00039",1.97703377340924,3.98380258077982,3.7393166886103,1.06538250502136,0.286702870467943,NA
"ASV00040",1250.46399887461,-4.55352399694379,2.45708015033585,-1.85322566556137,0.0638500204558695,0.311847201356928
"ASV00041",5.16760823623121,4.13516771398817,2.88917875779521,1.43126059709223,0.152355542237683,NA
"ASV00042",138.017955308495,1.57799860026364,2.48490492336138,0.635033793618572,0.525406375033059,0.847739099242622
"ASV00043",856.968618354225,-3.66954687458895,2.166699147839,-1.69361162958358,0.0903391066964569,0.371271694593975
