"Treatment","Genus","Total_Abundance"
"ctr","Clade Ia",13037
"ctr","Oceaniserpentilla",12580
"ctr","Colwellia",9990
"ctr","Synechococcus CC9902",9006
"ctr","Shewanella",5484
"ctr","Pseudophaeobacter",5164
"ctr","Prochlorococcus MIT9313",4513
"ctr","Glaciecola",3207
"ctr","Acinetobacter",2149
