"","Sample","OTU","Genus","Abundance"
"103","1337_219_S219_L001","ASV00008","Shewanella",638
"104","1337_238_S238_L001","ASV00004","Synechococcus CC9902",617
"105","1337_242_S242_L001","ASV00053","Colwellia",615
"106","1337_219_S219_L001","ASV00061",NA,614
"107","1337_238_S238_L001","ASV00043","Pseudoalteromonas",595
"108","1337_224_S224_L001","ASV00001","Clade Ia",589
"109","1337_214_S214_L001","ASV00053","Colwellia",582
"110","1337_219_S219_L001","ASV00010","Shewanella",572
"111","1337_238_S238_L001","ASV00048","Colwellia",559
"112","1337_242_S242_L001","ASV00043","Pseudoalteromonas",516
"113","1337_225_S225_L001","ASV00003","Clade Ia",504
"114","1337_216_S216_L001","ASV00061",NA,493
"115","1337_224_S224_L001","ASV00008","Shewanella",488
"116","1337_238_S238_L001","ASV00053","Colwellia",472
"117","1337_214_S214_L001","ASV00048","Colwellia",471
"118","1337_224_S224_L001","ASV00010","Shewanella",467
"119","1337_219_S219_L001","ASV00012","Acinetobacter",463
"120","1337_237_S237_L001","ASV00001","Clade Ia",447
"121","1337_223_S223_L001","ASV00002","Prochlorococcus MIT9313",428
"122","1337_212_S212_L001","ASV00048","Colwellia",410
"123","1337_219_S219_L001","ASV00003","Clade Ia",406
"124","1337_238_S238_L001","ASV00001","Clade Ia",387
"125","1337_212_S212_L001","ASV00053","Colwellia",384
"126","1337_237_S237_L001","ASV00074","Colwellia",373
"127","1337_220_S220_L001","ASV00036","Synechococcus CC9902",362
"128","1337_216_S216_L001","ASV00003","Clade Ia",357
"129","1337_225_S225_L001","ASV00004","Synechococcus CC9902",351
"130","1337_212_S212_L001","ASV00068","Glaciecola",349
"131","1337_221_S221_L001","ASV00036","Synechococcus CC9902",348
"132","1337_217_S217_L001","ASV00061",NA,337
"133","1337_221_S221_L001","ASV00068","Glaciecola",328
"134","1337_217_S217_L001","ASV00074","Colwellia",327
"135","1337_223_S223_L001","ASV00025","Pseudophaeobacter",323
"136","1337_220_S220_L001","ASV00053","Colwellia",296
"137","1337_214_S214_L001","ASV00036","Synechococcus CC9902",291
"138","1337_238_S238_L001","ASV00002","Prochlorococcus MIT9313",291
"139","1337_224_S224_L001","ASV00048","Colwellia",285
"140","1337_237_S237_L001","ASV00002","Prochlorococcus MIT9313",276
"141","1337_213_S213_L001","ASV00036","Synechococcus CC9902",263
"142","1337_224_S224_L001","ASV00003","Clade Ia",260
"143","1337_220_S220_L001","ASV00048","Colwellia",258
"144","1337_224_S224_L001","ASV00012","Acinetobacter",258
"145","1337_219_S219_L001","ASV00004","Synechococcus CC9902",254
"146","1337_220_S220_L001","ASV00010","Shewanella",250
"147","1337_219_S219_L001","ASV00025","Pseudophaeobacter",249
"148","1337_224_S224_L001","ASV00002","Prochlorococcus MIT9313",236
"149","1337_227_S227_L001","ASV00001","Clade Ia",236
"150","1337_220_S220_L001","ASV00008","Shewanella",226
"151","1337_227_S227_L001","ASV00025","Pseudophaeobacter",220
"152","1337_212_S212_L001","ASV00036","Synechococcus CC9902",219
"153","1337_237_S237_L001","ASV00003","Clade Ia",191
"154","1337_217_S217_L001","ASV00001","Clade Ia",181
"155","1337_216_S216_L001","ASV00008","Shewanella",177
"156","1337_224_S224_L001","ASV00004","Synechococcus CC9902",175
"157","1337_217_S217_L001","ASV00004","Synechococcus CC9902",174
"158","1337_219_S219_L001","ASV00048","Colwellia",172
"159","1337_212_S212_L001","ASV00061",NA,167
"160","1337_224_S224_L001","ASV00053","Colwellia",166
"161","1337_239_S239_L001","ASV00043","Pseudoalteromonas",156
"162","1337_220_S220_L001","ASV00012","Acinetobacter",152
"163","1337_225_S225_L001","ASV00040","Marinomonas",152
"164","1337_220_S220_L001","ASV00009","Glaciecola",149
"165","1337_216_S216_L001","ASV00012","Acinetobacter",148
"166","1337_216_S216_L001","ASV00040","Marinomonas",148
"167","1337_216_S216_L001","ASV00002","Prochlorococcus MIT9313",147
"168","1337_214_S214_L001","ASV00074","Colwellia",145
"169","1337_237_S237_L001","ASV00068","Glaciecola",145
"170","1337_238_S238_L001","ASV00003","Clade Ia",145
"171","1337_238_S238_L001","ASV00061",NA,144
