"","Sample","OTU","Genus","Abundance"
"368","1337_223_S223_L001","ASV00007","Limosilactobacillus",0
"369","1337_223_S223_L001","ASV00009","Glaciecola",0
"370","1337_223_S223_L001","ASV00013","Alteromonas",0
"371","1337_223_S223_L001","ASV00014","Alteromonas",0
"372","1337_223_S223_L001","ASV00015","Salmonella",0
"373","1337_223_S223_L001","ASV00016","Escherichia-Shigella",0
"374","1337_223_S223_L001","ASV00031","Alteromonas",0
"375","1337_223_S223_L001","ASV00040","Marinomonas",0
"376","1337_223_S223_L001","ASV00048","Colwellia",0
"377","1337_223_S223_L001","ASV00053","Colwellia",0
"378","1337_223_S223_L001","ASV00068","Glaciecola",0
"379","1337_223_S223_L001","ASV00074","Colwellia",0
"380","1337_223_S223_L001","ASV00186","Alteromonas",0
"381","1337_223_S223_L001","ASV00316","Neptuniibacter",0
"382","1337_223_S223_L001","ASV00476","Oleibacter",0
"383","1337_224_S224_L001","ASV00007","Limosilactobacillus",0
"384","1337_224_S224_L001","ASV00009","Glaciecola",0
"385","1337_224_S224_L001","ASV00015","Salmonella",0
"386","1337_224_S224_L001","ASV00016","Escherichia-Shigella",0
"387","1337_224_S224_L001","ASV00031","Alteromonas",0
"388","1337_224_S224_L001","ASV00068","Glaciecola",0
"389","1337_224_S224_L001","ASV00186","Alteromonas",0
"390","1337_224_S224_L001","ASV00316","Neptuniibacter",0
"391","1337_224_S224_L001","ASV00476","Oleibacter",0
"392","1337_225_S225_L001","ASV00007","Limosilactobacillus",0
"393","1337_225_S225_L001","ASV00013","Alteromonas",0
"394","1337_225_S225_L001","ASV00014","Alteromonas",0
"395","1337_225_S225_L001","ASV00015","Salmonella",0
"396","1337_225_S225_L001","ASV00016","Escherichia-Shigella",0
"397","1337_225_S225_L001","ASV00031","Alteromonas",0
"398","1337_225_S225_L001","ASV00068","Glaciecola",0
"399","1337_225_S225_L001","ASV00316","Neptuniibacter",0
"400","1337_225_S225_L001","ASV00476","Oleibacter",0
"401","1337_226_S226_L001","ASV00002","Prochlorococcus MIT9313",0
"402","1337_226_S226_L001","ASV00007","Limosilactobacillus",0
"403","1337_226_S226_L001","ASV00009","Glaciecola",0
"404","1337_226_S226_L001","ASV00013","Alteromonas",0
"405","1337_226_S226_L001","ASV00014","Alteromonas",0
"406","1337_226_S226_L001","ASV00015","Salmonella",0
"407","1337_226_S226_L001","ASV00016","Escherichia-Shigella",0
"408","1337_226_S226_L001","ASV00029","Oceaniserpentilla",0
"409","1337_226_S226_L001","ASV00031","Alteromonas",0
"410","1337_226_S226_L001","ASV00040","Marinomonas",0
"411","1337_226_S226_L001","ASV00043","Pseudoalteromonas",0
"412","1337_226_S226_L001","ASV00061",NA,0
"413","1337_226_S226_L001","ASV00068","Glaciecola",0
"414","1337_226_S226_L001","ASV00074","Colwellia",0
"415","1337_226_S226_L001","ASV00186","Alteromonas",0
"416","1337_226_S226_L001","ASV00316","Neptuniibacter",0
"417","1337_226_S226_L001","ASV00476","Oleibacter",0
"418","1337_227_S227_L001","ASV00007","Limosilactobacillus",0
"419","1337_227_S227_L001","ASV00009","Glaciecola",0
"420","1337_227_S227_L001","ASV00013","Alteromonas",0
"421","1337_227_S227_L001","ASV00014","Alteromonas",0
"422","1337_227_S227_L001","ASV00015","Salmonella",0
"423","1337_227_S227_L001","ASV00016","Escherichia-Shigella",0
"424","1337_227_S227_L001","ASV00029","Oceaniserpentilla",0
"425","1337_227_S227_L001","ASV00031","Alteromonas",0
"426","1337_227_S227_L001","ASV00040","Marinomonas",0
"427","1337_227_S227_L001","ASV00048","Colwellia",0
"428","1337_227_S227_L001","ASV00053","Colwellia",0
"429","1337_227_S227_L001","ASV00068","Glaciecola",0
"430","1337_227_S227_L001","ASV00074","Colwellia",0
"431","1337_227_S227_L001","ASV00186","Alteromonas",0
"432","1337_227_S227_L001","ASV00316","Neptuniibacter",0
"433","1337_227_S227_L001","ASV00476","Oleibacter",0
"434","1337_228_S228_L001","ASV00002","Prochlorococcus MIT9313",0
"435","1337_228_S228_L001","ASV00007","Limosilactobacillus",0
"436","1337_228_S228_L001","ASV00015","Salmonella",0
"437","1337_228_S228_L001","ASV00016","Escherichia-Shigella",0
"438","1337_228_S228_L001","ASV00025","Pseudophaeobacter",0
"439","1337_228_S228_L001","ASV00029","Oceaniserpentilla",0
"440","1337_228_S228_L001","ASV00040","Marinomonas",0
"441","1337_228_S228_L001","ASV00048","Colwellia",0
"442","1337_228_S228_L001","ASV00053","Colwellia",0
"443","1337_228_S228_L001","ASV00061",NA,0
"444","1337_228_S228_L001","ASV00074","Colwellia",0
"445","1337_229_S229_L001","ASV00007","Limosilactobacillus",0
"446","1337_229_S229_L001","ASV00009","Glaciecola",0
"447","1337_229_S229_L001","ASV00013","Alteromonas",0
"448","1337_229_S229_L001","ASV00014","Alteromonas",0
"449","1337_229_S229_L001","ASV00015","Salmonella",0
"450","1337_229_S229_L001","ASV00016","Escherichia-Shigella",0
"451","1337_229_S229_L001","ASV00025","Pseudophaeobacter",0
"452","1337_229_S229_L001","ASV00029","Oceaniserpentilla",0
"453","1337_229_S229_L001","ASV00031","Alteromonas",0
"454","1337_229_S229_L001","ASV00043","Pseudoalteromonas",0
"455","1337_229_S229_L001","ASV00048","Colwellia",0
"456","1337_229_S229_L001","ASV00061",NA,0
"457","1337_229_S229_L001","ASV00068","Glaciecola",0
"458","1337_229_S229_L001","ASV00074","Colwellia",0
"459","1337_229_S229_L001","ASV00186","Alteromonas",0
"460","1337_229_S229_L001","ASV00316","Neptuniibacter",0
"461","1337_229_S229_L001","ASV00476","Oleibacter",0
"462","1337_230_S230_L001","ASV00007","Limosilactobacillus",0
"463","1337_230_S230_L001","ASV00010","Shewanella",0
"464","1337_230_S230_L001","ASV00013","Alteromonas",0
"465","1337_230_S230_L001","ASV00014","Alteromonas",0
"466","1337_230_S230_L001","ASV00015","Salmonella",0
"467","1337_230_S230_L001","ASV00016","Escherichia-Shigella",0
"468","1337_230_S230_L001","ASV00031","Alteromonas",0
"469","1337_230_S230_L001","ASV00061",NA,0
"470","1337_230_S230_L001","ASV00316","Neptuniibacter",0
"471","1337_230_S230_L001","ASV00476","Oleibacter",0
"472","1337_231_S231_L001","ASV00001","Clade Ia",0
"473","1337_231_S231_L001","ASV00003","Clade Ia",0
"474","1337_231_S231_L001","ASV00004","Synechococcus CC9902",0
"475","1337_231_S231_L001","ASV00008","Shewanella",0
"476","1337_231_S231_L001","ASV00009","Glaciecola",0
"477","1337_231_S231_L001","ASV00010","Shewanella",0
"478","1337_231_S231_L001","ASV00012","Acinetobacter",0
"479","1337_231_S231_L001","ASV00013","Alteromonas",0
"480","1337_231_S231_L001","ASV00014","Alteromonas",0
"481","1337_231_S231_L001","ASV00025","Pseudophaeobacter",0
"482","1337_231_S231_L001","ASV00029","Oceaniserpentilla",0
"483","1337_231_S231_L001","ASV00031","Alteromonas",0
"484","1337_231_S231_L001","ASV00036","Synechococcus CC9902",0
"485","1337_231_S231_L001","ASV00040","Marinomonas",0
"486","1337_231_S231_L001","ASV00043","Pseudoalteromonas",0
"487","1337_231_S231_L001","ASV00048","Colwellia",0
"488","1337_231_S231_L001","ASV00053","Colwellia",0
"489","1337_231_S231_L001","ASV00061",NA,0
"490","1337_231_S231_L001","ASV00064","Vibrio",0
"491","1337_231_S231_L001","ASV00068","Glaciecola",0
"492","1337_231_S231_L001","ASV00074","Colwellia",0
"493","1337_231_S231_L001","ASV00186","Alteromonas",0
"494","1337_231_S231_L001","ASV00316","Neptuniibacter",0
"495","1337_231_S231_L001","ASV00476","Oleibacter",0
"496","1337_232_S232_L001","ASV00002","Prochlorococcus MIT9313",0
"497","1337_232_S232_L001","ASV00004","Synechococcus CC9902",0
"498","1337_232_S232_L001","ASV00015","Salmonella",0
"499","1337_232_S232_L001","ASV00040","Marinomonas",0
"500","1337_232_S232_L001","ASV00048","Colwellia",0
"501","1337_232_S232_L001","ASV00053","Colwellia",0
"502","1337_232_S232_L001","ASV00061",NA,0
"503","1337_233_S233_L001","ASV00002","Prochlorococcus MIT9313",0
"504","1337_233_S233_L001","ASV00004","Synechococcus CC9902",0
"505","1337_233_S233_L001","ASV00007","Limosilactobacillus",0
"506","1337_233_S233_L001","ASV00009","Glaciecola",0
"507","1337_233_S233_L001","ASV00013","Alteromonas",0
"508","1337_233_S233_L001","ASV00014","Alteromonas",0
"509","1337_233_S233_L001","ASV00015","Salmonella",0
"510","1337_233_S233_L001","ASV00016","Escherichia-Shigella",0
"511","1337_233_S233_L001","ASV00031","Alteromonas",0
"512","1337_233_S233_L001","ASV00040","Marinomonas",0
"513","1337_233_S233_L001","ASV00043","Pseudoalteromonas",0
"514","1337_233_S233_L001","ASV00053","Colwellia",0
"515","1337_233_S233_L001","ASV00068","Glaciecola",0
"516","1337_233_S233_L001","ASV00074","Colwellia",0
"517","1337_233_S233_L001","ASV00186","Alteromonas",0
"518","1337_233_S233_L001","ASV00316","Neptuniibacter",0
"519","1337_233_S233_L001","ASV00476","Oleibacter",0
"520","1337_234_S234_L001","ASV00007","Limosilactobacillus",0
"521","1337_234_S234_L001","ASV00015","Salmonella",0
"522","1337_234_S234_L001","ASV00016","Escherichia-Shigella",0
"523","1337_234_S234_L001","ASV00031","Alteromonas",0
"524","1337_234_S234_L001","ASV00043","Pseudoalteromonas",0
"525","1337_234_S234_L001","ASV00186","Alteromonas",0
"526","1337_234_S234_L001","ASV00316","Neptuniibacter",0
"527","1337_234_S234_L001","ASV00476","Oleibacter",0
"528","1337_235_S235_L001","ASV00007","Limosilactobacillus",0
"529","1337_235_S235_L001","ASV00008","Shewanella",0
"530","1337_235_S235_L001","ASV00010","Shewanella",0
"531","1337_235_S235_L001","ASV00012","Acinetobacter",0
"532","1337_235_S235_L001","ASV00015","Salmonella",0
"533","1337_235_S235_L001","ASV00016","Escherichia-Shigella",0
"534","1337_235_S235_L001","ASV00186","Alteromonas",0
"535","1337_235_S235_L001","ASV00316","Neptuniibacter",0
"536","1337_235_S235_L001","ASV00476","Oleibacter",0
"537","1337_236_S236_L001","ASV00001","Clade Ia",0
"538","1337_236_S236_L001","ASV00002","Prochlorococcus MIT9313",0
"539","1337_236_S236_L001","ASV00003","Clade Ia",0
"540","1337_236_S236_L001","ASV00004","Synechococcus CC9902",0
"541","1337_236_S236_L001","ASV00007","Limosilactobacillus",0
"542","1337_236_S236_L001","ASV00008","Shewanella",0
"543","1337_236_S236_L001","ASV00009","Glaciecola",0
"544","1337_236_S236_L001","ASV00010","Shewanella",0
"545","1337_236_S236_L001","ASV00012","Acinetobacter",0
"546","1337_236_S236_L001","ASV00013","Alteromonas",0
"547","1337_236_S236_L001","ASV00014","Alteromonas",0
"548","1337_236_S236_L001","ASV00015","Salmonella",0
"549","1337_236_S236_L001","ASV00016","Escherichia-Shigella",0
"550","1337_236_S236_L001","ASV00025","Pseudophaeobacter",0
"551","1337_236_S236_L001","ASV00029","Oceaniserpentilla",0
"552","1337_236_S236_L001","ASV00031","Alteromonas",0
"553","1337_236_S236_L001","ASV00036","Synechococcus CC9902",0
"554","1337_236_S236_L001","ASV00040","Marinomonas",0
"555","1337_236_S236_L001","ASV00043","Pseudoalteromonas",0
"556","1337_236_S236_L001","ASV00048","Colwellia",0
"557","1337_236_S236_L001","ASV00053","Colwellia",0
"558","1337_236_S236_L001","ASV00061",NA,0
"559","1337_236_S236_L001","ASV00064","Vibrio",0
"560","1337_236_S236_L001","ASV00068","Glaciecola",0
"561","1337_236_S236_L001","ASV00074","Colwellia",0
"562","1337_236_S236_L001","ASV00186","Alteromonas",0
"563","1337_236_S236_L001","ASV00316","Neptuniibacter",0
"564","1337_236_S236_L001","ASV00476","Oleibacter",0
"565","1337_237_S237_L001","ASV00007","Limosilactobacillus",0
"566","1337_237_S237_L001","ASV00010","Shewanella",0
"567","1337_237_S237_L001","ASV00015","Salmonella",0
"568","1337_237_S237_L001","ASV00016","Escherichia-Shigella",0
"569","1337_237_S237_L001","ASV00476","Oleibacter",0
